('GP', '51.33590,8.58006', '5', '170'), ('GP', '44.48983,8.35045', '5', '171'), ('GP', '46.17977,2.78527', '5', '172')
('GP', '51.33590,8.58006', '5', '170'), ('GP', '44.48983,8.35045', '5', '171'), ('GP', '46.17977,2.78527', '5', '172')
('GP', '51.33291,8.58358', '5', '170'), ('GP', '44.49057,8.35094', '5', '171'), ('GP', '46.17971,2.78534', '5', '172')
('GP', '51.33295,8.58371', '5', '170'), ('GP', '44.49110,8.35191', '5', '171'), ('GP', '46.17941,2.78572', '5', '172')
('GP', '51.33398,8.58344', '5', '170'), ('GP', '44.49187,8.35230', '5', '171'), ('GP', '46.17936,2.78579', '5', '172')
('GP', '51.33432,8.58407', '5', '170'), ('GP', '44.49257,8.35049', '5', '171'), ('GP', '46.17919,2.78601', '5', '172')
('GP', '51.33483,8.58459', '5', '170'), ('GP', '44.49161,8.34830', '5', '171'), ('GP', '46.17890,2.78640', '5', '172')
('GP', '51.33552,8.58508', '5', '170'), ('GP', '44.49237,8.34864', '5', '171'), ('GP', '46.17885,2.78647', '5', '172')
('GP', '51.33571,8.58494', '5', '170'), ('GP', '44.49344,8.34859', '5', '171'), ('GP', '46.17884,2.78650', '5', '172')
('GP', '51.33572,8.58418', '5', '170'), ('GP', '44.49410,8.34770', '5', '171'), ('GP', '46.17882,2.78655', '5', '172')
('GP', '51.33580,8.58371', '5', '170'), ('GP', '44.49377,8.34765', '5', '171'), ('GP', '46.17882,2.78660', '5', '172')
('GP', '51.33578,8.58311', '5', '170'), ('GP', '44.49410,8.34716', '5', '171'), ('GP', '46.17882,2.78660', '5', '172')
('GP', '51.33581,8.58259', '5', '170'), ('GP', '44.49467,8.34709', '5', '171'), ('GP', '46.17877,2.78664', '5', '172')
('GP', '51.33594,8.58225', '5', '170'), ('GP', '44.49485,8.34628', '5', '171'), ('GP', '46.17874,2.78668', '5', '172')
('GP', '51.33633,8.58167', '5', '170'), ('GP', '44.49403,8.34577', '5', '171'), ('GP', '46.17872,2.78676', '5', '172')
('GP', '51.33673,8.58109', '5', '170'), ('GP', '44.49400,8.34500', '5', '171'), ('GP', '46.17869,2.78685', '5', '172')
('GP', '51.33706,8.58043', '5', '170'), ('GP', '44.49380,8.34298', '5', '171'), ('GP', '46.17869,2.78685', '5', '172')
('GP', '51.33733,8.57989', '5', '170'), ('GP', '44.49340,8.34207', '5', '171'), ('GP', '46.17867,2.78693', '5', '172')
('GP', '51.33799,8.57890', '5', '170'), ('GP', '44.49294,8.34073', '5', '171'), ('GP', '46.17865,2.78712', '5', '172')
('GP', '51.33829,8.57853', '5', '170'), ('GP', '44.49259,8.33927', '5', '171'), ('GP', '46.17865,2.78718', '5', '172')
('GP', '51.33882,8.57834', '5', '170'), ('GP', '44.49242,8.33789', '5', '171'), ('GP', '46.17864,2.78722', '5', '172')
('GP', '51.33948,8.57848', '5', '170'), ('GP', '44.49184,8.33661', '5', '171'), ('GP', '46.17861,2.78727', '5', '172')
('GP', '51.33953,8.57870', '5', '170'), ('GP', '44.49145,8.33562', '5', '171'), ('GP', '46.17860,2.78729', '5', '172')
('GP', '51.33965,8.57881', '5', '170'), ('GP', '44.49115,8.33446', '5', '171'), ('GP', '46.17852,2.78735', '5', '172')
('GP', '51.34039,8.57865', '5', '170'), ('GP', '44.49029,8.33352', '5', '171'), ('GP', '46.17842,2.78744', '5', '172')
('GP', '51.34136,8.57872', '5', '170'), ('GP', '44.48957,8.33231', '5', '171'), ('GP', '46.17832,2.78755', '5', '172')
('GP', '51.34192,8.57879', '5', '170'), ('GP', '44.48891,8.33116', '5', '171'), ('GP', '46.17813,2.78779', '5', '172')
('GP', '51.34267,8.57893', '5', '170'), ('GP', '44.48832,8.33015', '5', '171'), ('GP', '46.17797,2.78799', '5', '172')
('GP', '51.34353,8.57921', '5', '170'), ('GP', '44.48838,8.33120', '5', '171'), ('GP', '46.17786,2.78813', '5', '172')
('GP', '51.34314,8.57919', '5', '170'), ('GP', '44.48812,8.33244', '5', '171'), ('GP', '46.17784,2.78816', '5', '172')
