('GP', '51.33590,8.58006', '5', '170'),
('GP', '51.33590,8.58006', '5', '170'),
('GP', '51.33291,8.58358', '5', '170'),
('GP', '51.33295,8.58371', '5', '170'),
('GP', '51.33398,8.58344', '5', '170'),
('GP', '51.33432,8.58407', '5', '170'),
('GP', '51.33483,8.58459', '5', '170'),
('GP', '51.33552,8.58508', '5', '170'),
('GP', '51.33571,8.58494', '5', '170'),
('GP', '51.33572,8.58418', '5', '170'),
('GP', '51.33580,8.58371', '5', '170'),
('GP', '51.33578,8.58311', '5', '170'),
('GP', '51.33581,8.58259', '5', '170'),
('GP', '51.33594,8.58225', '5', '170'),
('GP', '51.33633,8.58167', '5', '170'),
('GP', '51.33673,8.58109', '5', '170'),
('GP', '51.33706,8.58043', '5', '170'),
('GP', '51.33733,8.57989', '5', '170'),
('GP', '51.33799,8.57890', '5', '170'),
('GP', '51.33829,8.57853', '5', '170'),
('GP', '51.33882,8.57834', '5', '170'),
('GP', '51.33948,8.57848', '5', '170'),
('GP', '51.33953,8.57870', '5', '170'),
('GP', '51.33965,8.57881', '5', '170'),
('GP', '51.34039,8.57865', '5', '170'),
('GP', '51.34136,8.57872', '5', '170'),
('GP', '51.34192,8.57879', '5', '170'),
('GP', '51.34267,8.57893', '5', '170'),
('GP', '51.34353,8.57921', '5', '170'),
('GP', '51.34314,8.57919', '5', '170'),
('GP', '51.34263,8.57921', '5', '170'),
('GP', '51.34180,8.57944', '5', '170'),
('GP', '51.34145,8.57959', '5', '170'),
('GP', '51.34104,8.57990', '5', '170'),
('GP', '51.34070,8.58023', '5', '170'),
('GP', '51.34015,8.58058', '5', '170'),
('GP', '51.33985,8.58083', '5', '170'),
('GP', '51.33959,8.58069', '5', '170'),
('GP', '51.33917,8.58048', '5', '170'),
('GP', '51.33827,8.58075', '5', '170'),
('GP', '51.33790,8.58109', '5', '170'),
('GP', '51.33752,8.58170', '5', '170'),
('GP', '51.33726,8.58236', '5', '170'),
('GP', '51.33714,8.58308', '5', '170'),
('GP', '51.33710,8.58351', '5', '170'),
('GP', '51.33681,8.58470', '5', '170'),
('GP', '51.33670,8.58527', '5', '170'),
('GP', '51.33684,8.58616', '5', '170'),
('GP', '51.33680,8.58636', '5', '170'),
('GP', '51.33670,8.58691', '5', '170'),
('GP', '51.33657,8.58760', '5', '170'),
('GP', '51.33646,8.58769', '5', '170'),
('GP', '51.33632,8.58763', '5', '170'),
('GP', '51.33599,8.58735', '5', '170'),
('GP', '51.33574,8.58714', '5', '170'),
('GP', '51.33523,8.58691', '5', '170'),
('GP', '51.33489,8.58694', '5', '170'),
('GP', '51.33413,8.58719', '5', '170'),
('GP', '51.33378,8.58757', '5', '170'),
('GP', '51.33335,8.58830', '5', '170'),
('GP', '51.33298,8.58896', '5', '170'),
('GP', '51.33275,8.58919', '5', '170'),
('GP', '51.33246,8.58928', '5', '170'),
('GP', '51.33216,8.58914', '5', '170'),
('GP', '51.33180,8.58887', '5', '170'),
('GP', '51.33142,8.58873', '5', '170'),
('GP', '51.33125,8.58887', '5', '170'),
('GP', '51.33118,8.58899', '5', '170'),
('GP', '51.33116,8.58961', '5', '170'),
('GP', '51.33159,8.59191', '5', '170'),
('GP', '51.33181,8.59296', '5', '170'),
('GP', '51.33235,8.59428', '5', '170'),
('GP', '51.33225,8.59432', '5', '170'),
('GP', '51.33217,8.59406', '5', '170'),
('GP', '51.33159,8.59356', '5', '170'),
('GP', '51.33124,8.59318', '5', '170'),
('GP', '51.33081,8.59232', '5', '170'),
('GP', '51.33046,8.59179', '5', '170'),
('GP', '51.33037,8.59172', '5', '170'),
('GP', '51.33027,8.59118', '5', '170'),
('GP', '51.33010,8.59080', '5', '170'),
('GP', '51.32969,8.59042', '5', '170'),
('GP', '51.32917,8.59004', '5', '170'),
('GP', '51.32899,8.58981', '5', '170'),
('GP', '51.32883,8.58938', '5', '170'),
('GP', '51.32864,8.58869', '5', '170'),
('GP', '51.32852,8.58785', '5', '170'),
('GP', '51.32849,8.58731', '5', '170'),
('GP', '51.32860,8.58705', '5', '170'),
('GP', '51.32874,8.58658', '5', '170')
